ProductID,Category,Family,Price
21276088156846,Product,Scoop Ice,16.6
17925360348038,Product,Scoop Ice,16.6
23695,Product,Scoop Ice,3.95
22881244634648,Product,Meals,15.9
23771,Product,Ice Cakes,4.9
23840,Product,Garniture,0.0
23844,Product,Cups,7.5
23850,Product,Hand Ice,19.5
17545160268040,Product,Scoop Ice,16.6
17422560668040,Product,Scoop Ice,16.6
17905460678040,Product,Scoop Ice,16.6
17994560108042,Product,Scoop Ice,16.6
17504560158042,Product,Scoop Ice,16.6
17545560238042,Product,Scoop Ice,18.8
17155060318042,Product,Scoop Ice,18.8
8600057,Product,Scoop Ice,15.0
23700,Product,Scoop Ice,15.0
23704,Product,Scoop Ice,8.3
23719,Product,Hand Ice,9.5
19044872214432,Product,Scoop Ice,4.0
19275480434838,Product,Meals,11.0
19051680407644,Product,Ice Cakes,8.7
23744,Product,Hand Ice,19.5
23775,Product,Ice Cakes,7.4
18424244393052,Product,Scoop Ice,8.3
18641144453052,Product,Scoop Ice,16.6
23802,Product,Cups,13.1
23789,Product,Scoop Ice,5.2
23778,Product,Ice Cakes,8.2
23788,Product,Scoop Ice,5.2
17794188535052,Product,Scoop Ice,16.6
23805,Product,Cups,13.1
23790,Product,Scoop Ice,5.2
23829,Product,Garniture,3.6
23831,Product,Garniture,10.5
23801,Product,Cups,3.2
19641588446644,Product,Hand Ice,9.2
19226988456644,Product,Assortments,10.5
19006188576644,Product,Assortments,7.2
19074188626644,Product,Garniture,5.8
19864988676644,Product,Scoop Ice,3.6
23816,Product,Coffee,4.9
18803444542640,Product,Meals,5.6
290318680,Product,Scoop Ice,4.1
290318681,Product,Scoop Ice,4.1
290318684,Product,Scoop Ice,4.1
21791688156846,Product,Scoop Ice,8.3
17604188674640,Product,Scoop Ice,4.0
8600217,Product,Cups,5.3
290318677,Product,Scoop Ice,4.1
290318679,Product,Scoop Ice,4.1
290318682,Product,Scoop Ice,4.1
290318683,Product,Scoop Ice,4.1
17453864687246,Product,Hand Ice,9.5
8600219,Product,Cups,5.3
23736,Product,Hand Ice,8.1
23751,Product,Hand Ice,6.5
23702,Product,Scoop Ice,8.3
23689,Product,Scoop Ice,3.95
23690,Product,Scoop Ice,3.7
23698,Product,Scoop Ice,3.7
23701,Product,Scoop Ice,8.3
23688,Product,Scoop Ice,3.7
23681,Product,Scoop Ice,7.6
23682,Product,Scoop Ice,8.4
23684,Product,Scoop Ice,7.6
23686,Product,Scoop Ice,3.7
23703,Product,Scoop Ice,8.3
23691,Product,Scoop Ice,3.7
23849,Product,Hand Ice,19.5
23847,Product,Meals,6.4
23699,Product,Scoop Ice,13.9
23687,Product,Scoop Ice,3.95
23721,Product,Cups,8.9
23799,Product,Assortments,0.0
23718,Product,Hand Ice,9.5
23743,Product,Hand Ice,19.5
23803,Product,Cups,13.1
23776,Product,Ice Cakes,37.0
23760,Product,Hand Ice,7.5
23794,Product,Scoop Ice,9.4
23796,Product,Scoop Ice,9.4
23797,Product,Scoop Ice,9.4
23769,Product,Individual Dessert,7.0
23774,Product,Ice Cakes,7.4
23780,Product,Ice Cakes,37.0
23782,Product,Ice Cakes,7.4
23753,Product,Hand Ice,4.6
23745,Product,Hand Ice,6.4
23764,Product,Individual Dessert,12.5
23766,Product,Ice Cakes,9.4
20004276638042,Product,Meals,15.4
20695880416040,Product,Individual Dessert,5.3
23714,Product,Hand Ice,9.5
17693056317252,Product,Hand Ice,8.9
21124152356448,Product,Hand Ice,6.4
21744156237250,Product,Coffee,5.2
21171556668044,Coupon,,0.0
23683,Product,Scoop Ice,7.6
21454356698044,Coupon,,-1.9
21142456138046,Coupon,,-4.1
21922172133242,Product,Hand Ice,19.5
21004372163242,Product,Cups,10.1
21931876266844,Product,Meals,15.4
21341176376844,Product,Coffee,9.7
21996680647040,Product,Individual Dessert,7.0
21336088506842,Product,Scoop Ice,4.1
21802588526842,Product,Scoop Ice,4.1
21792988536842,Product,Assortments,14.9
61569895,Product,Hand Ice,6.4
61570083,Product,Hand Ice,19.5
60416329,Product,Meals,10.9
60416457,Product,Meals,5.3
62001684,Product,Cups,
46145573,Product,Meals,7.0
46260776,Product,Ice Cakes,8.9
46261457,Product,Ice Cakes,5.2
46264006,Product,Individual Dessert,4.2
60397466,Product,Scoop Ice,4.0
18225444123838,POS,POS inside,11.9
18832444153838,POS,POS inside,14.9
60444646,Product,Individual Dessert,
60672860,Product,Meals,18.2
60673327,Product,Meals,12.5
60709989,Product,Meals,11.5
60710237,Product,Meals,11.2
23740,Product,Hand Ice,7.6
18326144633838,Product,Assortments,0.0
18564756423248,Product,Hand Ice,5.4
18021584667842,Product,Hand Ice,5.2
21985480107044,Product,Ice Cakes,8.7
52529668,Coupon,,-7.4
70246311,Product,Coffee,
70246897,Product,Coffee,
70405528,Coupon,,
70406187,Coupon,,
70667799,Coupon,,
52285552,Product,Meals,9.5
52285633,Product,Meals,8.9
52285652,Product,Meals,8.9
52388848,Product,Ice Cakes,8.2
52595603,Product,Scoop Ice,
53089493,Product,Coffee,9.9
53569504,Coupon,,-4.1
53614655,Coupon,,-10.0
50623363,Product,Hand Ice,7.6
50649538,Product,Individual Dessert,13.5
50650040,Product,Individual Dessert,13.5
50668653,Product,Cups,7.5
46331520,Product,Ice Cakes,9.9
47703913,Coupon,,-25.0
47716161,Product,Meals,5.0
47716700,Product,Meals,5.5
47760091,Product,Individual Dessert,12.5
68213571,Coupon,,
68213627,Coupon,,
48252441,Product,Individual Dessert,7.9
48284724,Product,Hand Ice,6.1
290318653,Product,Cups,9.3
847901,Product,Hand Ice,9.3
848841,Product,Meals,15.9
38092901,Product,Coffee,9.7
38473083,Product,Meals,3.9
38848673,Product,Hand Ice,5.1
39258412,Product,Assortments,12.5
19114372104432,Product,Scoop Ice,4.0
68825608,Product,Individual Dessert,
69665908,Product,Coffee,
681916,Coupon,,-10.0
17811288175050,Product,Scoop Ice,8.3
65431414,Product,Coffee,
41136155,Product,Meals,3.9
23677,Product,Scoop Ice,8.4
19485588626836,Product,Garniture,5.1
17956076227448,Product,Coffee,3.5
19024988296644,Product,Coffee,8.5
19241188526644,Product,Assortments,12.4
18626944592640,Product,Scoop Ice,5.6
23761,Product,Individual Dessert,8.5
21756088526842,Product,Individual Dessert,8.9
23742,Product,Hand Ice,19.5
23728,Product,Cups,9.6
23750,Product,Hand Ice,6.9
23722,Product,Cups,8.9
23734,Product,Hand Ice,8.5
23747,Product,BIG,6.4
23717,Product,Hand Ice,9.5
23694,Product,Scoop Ice,3.95
18224652536642,Product,Coffee,5.2
23685,Product,Scoop Ice,3.6
20394248207052,Product,Meals,13.2
23825,Product,Garniture,5.7
23830,Product,Garniture,2.8
23823,Product,Individual Dessert,1.9
23826,Product,Garniture,2.5
23827,Product,Garniture,1.9
23828,Product,Garniture,3.6
23806,Product,Cups,3.2
22176748666242,Product,Meals,8.1
61239668,Coupon,,-2.5
290318655,Product,Cups,9.3
22611748246244,Coupon,,-1.0
22092648256244,Coupon,,-7.4
8600052,Product,Scoop Ice,15.0
8601503,Product,Garniture,5.7
8600055,Product,Scoop Ice,15.0
23732,Product,Cups,15.2
23715,Product,Hand Ice,9.5
23678,Product,Scoop Ice,7.4
23679,Product,Scoop Ice,7.6
19455280364838,Product,Hand Ice,7.5
32594769,Product,Coffee,9.9
18546472494642,Product,Hand Ice,5.2
23783,Product,Ice Cakes,7.4
23784,Product,Ice Cakes,6.5
23763,Product,Individual Dessert,3.9
17102076277440,Product,Ice Cakes,8.6
18892684187852,Product,Cups,10.1
23762,Product,Individual Dessert,12.5
23773,Product,Ice Cakes,7.4
23777,Product,Ice Cakes,5.9
23781,Product,Ice Cakes,7.4
18296144533640,Product,Cups,8.4
18275744643640,Product,Cups,9.6
23791,Product,Scoop Ice,5.2
23731,Product,Cups,9.6
23735,Product,Hand Ice,9.7
23739,Product,Hand Ice,5.5
17492188344852,Product,Individual Dessert,8.9
20985584414848,Coupon,,-3.9
20742288286838,Product,Cups,10.9
20413488326838,Product,Hand Ice,6.5
21515648414638,Product,Coffee,7.9
20296288686840,Product,Individual Dessert,7.3
21844652504048,Product,Individual Dessert,7.5
17684788374852,Product,Individual Dessert,7.9
17776888275040,Product,Scoop Ice,4.0
17105588295040,Product,Hand Ice,6.1
8600353,Product,Hand Ice,8.9
8600216,Product,Cups,5.3
8600218,Product,Cups,5.3
8609011,Product,Scoop Ice,7.4
23730,Product,Cups,9.6
23746,Product,BIG,6.4
23772,Product,Ice Cakes,7.4
23832,Product,Garniture,5.2
23846,Product,Meals,6.4
17416556697250,Product,Hand Ice,8.9
43434530,Product,Meals,9.9
801207,Product,Coffee,5.2
290318678,Product,Scoop Ice,4.1
57367272,Coupon,,-2.5
58879898,Product,Hand Ice,9.2
58880561,Product,Hand Ice,9.5
42304782,Product,Coffee,9.9
39262734,Product,Scoop Ice,4.0
59354595,Coupon,,
59787091,Product,Individual Dessert,7.9
59881631,Product,Meals,9.8
59894425,Product,Meals,6.5
61357841,Product,Hand Ice,7.9
42606600,Product,Cups,7.5
42606882,Product,Hand Ice,5.2
38296640,Product,Meals,9.9
823144,Product,Ice Cakes,6.2
823146,Product,Hand Ice,3.6
51394381,Product,Assortments,9.2
51712715,Product,Cups,7.5
49918110,Product,Coffee,7.9
49918174,Product,Meals,7.2
51717887,Product,Hand Ice,9.5
51730518,Product,Cups,13.1
62875674,Product,Individual Dessert,
21161188334848,Product,Ice Cakes,8.7
73207251,Product,Meals,
49685718,Product,Meals,5.3
49689192,Product,Meals,18.7
49694807,Product,Meals,11.5
49127292,Product,Scoop Ice,4.0
49133508,Product,Scoop Ice,8.4
49171538,Product,Cups,3.2
49267982,Product,Coffee,8.0
49330626,Coupon,,
72135335,Coupon,,
54251376,Coupon,,-5.2
54251642,Coupon,,
33390614,Product,Cups,7.5
33390616,Product,Cups,7.5
72040674,Product,Meals,
63444550,Coupon,,
71927445,Product,Meals,
71927741,Product,Meals,
64013905,Product,Coffee,
62157503,Coupon,,-7.4
62315111,Coupon,,-4.2
62438816,Product,Cups,
64270183,Product,Scoop Ice,
62003611,Product,Cups,
64412289,Product,Scoop Ice,
66303120,Product,Coffee,
55232444,Product,Meals,13.8
55360457,Coupon,,-4.1
55675152,Product,Coffee,14.0
66443385,Coupon,,
66455676,Product,Coffee,
23727,Product,Cups,8.9
23705,Product,Scoop Ice,8.3
23708,Product,Scoop Ice,8.3
23712,Product,Scoop Ice,8.3
23716,Product,Hand Ice,9.5
23693,Product,Scoop Ice,3.95
23800,Product,Cups,3.2
22643648106244,Product,Meals,5.5
60783465,Product,Meals,4.9
23815,Product,Coffee,11.9
39757327,Product,Cups,7.5
39757489,Product,Cups,7.5
