customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3677-IYRBF,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,-1.1420431490330922,-0.97108079716186
7590-VHVEG,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,-0.9926105235902257
6674-KVJHG,0,0,0,0,11,1,2,2,1,1,1,1,1,1,1,0,2,-1.3148700370503688,-0.8976238412126207
6625-IUTTT,1,0,0,0,67,1,0,0,2,0,2,0,0,2,2,0,0,0.02620014208369237,0.9184615249702534
7665-VIGUD,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,-1.4760643460664828,-0.9279992851591979
3865-ZYKAD,1,1,1,0,69,1,2,1,2,2,0,0,0,0,0,1,1,0.6693155811479823,1.5467501193685214
6374-AFWOX,1,0,1,0,46,1,0,0,2,2,2,2,0,0,2,0,3,0.0295237360840249,0.33857069674394646
2530-ENDWQ,0,0,1,0,71,1,2,1,0,0,0,0,2,2,2,1,0,0.9617918531772199,1.8995640993841771
4815-TUMEQ,0,0,0,0,10,1,0,2,1,1,1,1,1,1,1,1,3,-1.5109620830699715,-0.9240727571835331
3704-IEAXF,0,0,1,1,72,0,1,0,0,2,0,2,2,2,2,0,1,-0.3693075439558449,0.6636563303247089
7734-DBOAI,0,0,1,1,1,0,1,0,0,0,0,2,2,0,0,0,2,-0.8196545310008642,-0.9880883986744317
9570-KYEUA,1,0,0,0,64,1,2,1,2,0,2,2,0,2,2,0,1,1.1462513201956595,1.8837256326059324
7321-KKSDU,1,0,0,1,32,1,0,2,1,1,1,1,1,1,2,0,3,-1.4710789550659844,-0.6983635760205852
2911-IJORQ,1,0,0,0,37,1,2,0,2,2,2,2,2,2,1,1,0,0.85876043916692,0.47599917589222296
6683-VLCTZ,1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,1.1229861621933337,-0.19276795128888433
9443-JUBUO,1,0,1,1,72,0,1,0,2,2,2,2,2,2,2,1,1,0.016229360082695727,0.9702122813236815
7047-YXDMZ,1,0,0,0,21,1,0,2,1,1,1,1,1,1,0,0,3,-1.4876969250676457,-0.8214977286057664
4193-ORFCL,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,-0.6534748309842519,-0.9858824840813615
3696-XRIEN,0,0,0,0,50,1,2,0,2,0,2,2,2,2,1,1,1,0.5895493251400082,0.8379677014691201
0979-MOZQI,1,0,1,0,62,0,1,0,0,0,0,2,2,0,2,1,0,-0.8562140650045189,0.025463179403555292
0404-AHASP,1,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,1,-1.4976677070686424,-0.37846184173353775
4723-BEGSG,1,0,1,0,72,1,2,0,2,0,2,2,2,2,2,0,1,0.7274784761537967,1.6828991680528171
5696-EXCYS,1,0,0,0,17,1,0,2,1,1,1,1,1,1,2,0,1,-1.505976692069473,-0.84296127759634
5998-DZLYR,0,0,1,0,61,1,2,1,0,2,0,2,0,2,2,1,0,0.9833952141793793,1.5102863511450701
9732-EQMWY,0,0,1,0,49,1,0,1,0,2,2,0,2,2,0,0,2,1.1512367111961581,1.2111643323247445
3370-GQEAL,1,0,1,1,30,1,2,1,0,0,0,0,2,0,0,0,2,0.6875953481498096,0.10156723286447886
4816-OKWNX,1,0,1,1,50,1,0,1,0,2,2,2,2,2,1,1,0,1.284180471209448,1.3044304013197545
3795-CAWEX,1,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,1,1.721233082253138,2.590875673706462
3724-BSCVH,1,0,1,1,10,1,0,2,1,1,1,1,1,1,1,0,3,-1.4727407520661506,-0.8988370942388093
5220-AGAAX,1,0,1,1,68,1,2,2,1,1,1,1,1,1,2,1,0,-1.3547531650543558,-0.2715191022614922
0319-QZTCO,0,0,1,1,3,1,0,0,0,2,0,0,2,0,0,1,1,-0.2014660469390663,-0.9313963936325262
6175-IRFIT,1,0,0,0,5,1,0,1,0,0,0,0,0,2,0,0,3,0.464914550127549,-0.817681496359755
0604-THJFP,0,0,1,1,59,1,0,0,0,2,0,2,2,2,2,1,1,0.3718539181182462,0.9982273966556736
1956-YIFGE,1,0,1,1,22,1,0,1,0,2,2,0,2,2,1,1,3,1.1728400721983174,-0.0835972380778377
8752-STIVR,0,0,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,0.4732235351283796,-0.8720352319330058
5774-QPLTF,1,0,1,1,50,1,0,2,1,1,1,1,1,1,1,1,3,-1.4760643460664828,-0.5915311322781931
2138-VFAPZ,0,0,1,1,14,1,0,2,1,1,1,1,1,1,2,1,3,-1.4976677070686424,-0.8894619572182608
2027-CWDNU,1,0,1,1,18,1,0,1,0,0,0,2,0,2,0,1,2,0.6925807391503077,-0.29922538955045447
2956-GGUCQ,1,1,1,0,24,1,2,1,2,0,0,0,0,0,0,1,2,0.46823814412788106,-0.2238934061971055
3134-DSHVC,0,0,0,0,63,1,2,1,2,2,2,0,2,0,2,0,1,1.1047063951915064,1.7376940865446822
9916-AYHTC,1,0,0,0,48,1,0,2,1,1,1,1,1,1,2,0,1,-1.4926823160681442,-0.6016562802603855
5519-NPHVG,0,0,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,0.9784098231788811,-0.5442583825486977
4010-YLMVT,0,0,0,0,56,1,2,1,2,2,0,0,2,2,0,1,1,1.3905354792200795,1.594530229454423
1580-BMCMR,1,1,0,0,19,1,0,1,2,0,0,0,0,2,0,1,2,0.749081837155956,-0.2834310410640715
8710-YGLWG,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,-0.6601220189849164,-0.9859707206650842
6848-YLDFR,1,0,1,1,58,1,0,0,0,2,0,2,2,2,1,1,1,0.3469269631157543,0.8916596626644498
0506-YLVKJ,1,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,-1.481049737066981,-0.6010165650283952
2937-FTHUR,0,0,0,1,18,1,2,0,2,0,0,0,0,2,0,0,2,0.001273187081200524,-0.4910517225638433
5702-KVQRD,1,0,1,0,71,1,0,0,2,0,2,2,2,2,2,1,2,0.5912111221401742,1.5674857165433815
0786-VSSUD,1,1,0,0,16,0,1,0,0,2,0,0,2,0,0,1,3,-0.8562140650045189,-0.7058416264910934
5047-LHVLY,1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,1,3,-0.4856333339674735,-0.9836545103423604
2079-FBMZK,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,1,3,0.14917312009598557,-0.8211889005627366
4423-YLHDV,0,0,1,0,21,1,2,1,2,0,2,0,2,2,0,1,0,1.3174164112127704,-0.03506711703029224
8650-RHRKE,1,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,2,-1.166970104035584,-0.9534996578550902
0781-LKXBR,1,1,0,0,9,1,2,1,0,0,2,0,2,2,0,1,2,1.1877962451998125,-0.600509204671989
5074-FBGHB,1,0,0,0,64,1,2,1,0,0,2,2,2,2,1,1,1,1.325725396213601,2.0338822389562243
0318-QUUOB,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,2,0.5247392421335293,-0.9702425496164933
3655-SNQYZ,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.4774254861848592
3750-YHRYO,1,0,1,1,7,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.9396023959187476
4536-PLEQY,1,0,1,0,12,1,0,1,0,2,0,0,0,2,0,1,1,0.6743009721484804,-0.5646851516805281
5639-NTUPK,1,0,0,1,13,1,0,0,2,0,0,0,0,0,0,1,1,-0.4208232509609946,-0.7099005093423426
0506-YLVKJ,1,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,-1.481049737066981,-0.6010165650283952
2878-DHMIN,1,0,1,1,35,1,0,2,1,1,1,1,1,1,1,0,2,-1.491020519067978,-0.711952009913898
0847-HGRML,1,0,0,1,62,1,0,2,1,1,1,1,1,1,2,0,0,-1.4876969250676457,-0.45425706715143155
9332-GYWLO,0,0,1,1,6,1,0,0,0,0,0,0,2,0,0,0,2,-0.32942441595185784,-0.849115779311006
4986-MXSFP,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,1,3,-1.4876969250676457,-0.9877354523395403
8990-YOZLV,0,0,0,0,69,1,2,0,2,2,0,2,0,0,2,1,3,0.07106866108817798,1.0139114494124029
4844-JJWUY,0,1,0,0,1,1,0,1,0,2,0,0,0,2,0,1,2,0.7058751151516368,-0.9678381027100468
5073-WXOYN,0,0,0,0,60,0,1,0,0,2,0,0,2,2,0,1,2,-0.46402997296531395,0.32985733410131896
4030-VPZBD,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,2,-1.125425179031431,-0.9797279823666953
3572-UUHRS,1,0,0,0,45,1,0,2,1,1,1,1,1,1,1,0,0,-1.5259182560714666,-0.6231418883968898
9094-AZPHK,0,0,0,0,15,1,2,1,0,2,0,0,2,2,0,1,2,1.1761636661986499,-0.38150600387197475
6888-SBYAI,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,-0.467353566965646,-0.9834118597371228
2607-DHDAK,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,1,1,-1.4943441130683104,-0.38166041789348965
3647-GMGDH,1,0,1,0,22,1,0,1,0,0,2,0,2,2,0,1,1,0.9950277931805424,-0.16095866285681126
1820-TQVEV,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0.15914390209698223,-0.9750955617212478
9800-ONTFE,0,0,1,1,22,1,2,1,0,0,0,0,0,0,0,1,0,0.36686852711774764,-0.29322530185730344
7139-JZFVG,1,0,1,1,60,1,0,0,2,2,2,0,0,0,2,0,0,-0.14164135493308597,0.6241483999628207
4785-NKHCX,1,1,0,0,5,1,0,2,1,1,1,1,1,1,0,0,0,-1.4860351280674797,-0.9642424619233422
7932-WPTDS,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,-1.328164413051698,-0.9948384973292265
1849-RJYIG,0,0,0,0,8,1,0,0,2,0,0,0,2,0,0,1,2,-0.1582593249347472,-0.7905928651568523
6048-UWKAL,0,1,1,0,69,1,2,1,0,2,0,2,2,2,2,0,1,1.3506523512160928,2.082037354522948
4979-HPRFL,1,0,1,1,56,1,2,2,1,1,1,1,1,1,2,0,0,-1.3497677740538576,-0.38713108608430385
1766-GKNMI,1,0,0,0,29,1,2,1,0,0,0,0,0,2,0,1,2,0.6693155811479823,0.10432462610581666
3716-UVSPD,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,-0.5138838829702976,-0.9840295158231823
5480-TBGPH,0,0,1,0,24,1,0,1,0,2,2,0,2,2,0,1,1,1.1479131171958254,0.0668902554614146
8738-JOKAR,0,0,0,0,42,1,0,0,2,2,0,2,0,2,1,1,3,0.09765741309083585,0.2658196334644896
7711-YIJWC,1,0,1,1,61,1,0,0,2,2,2,2,2,2,1,0,0,0.6693155811479823,1.3168276413328095
4431-EDMIQ,0,0,1,1,7,1,0,0,2,2,2,2,2,0,0,1,2,0.36354493311741554,-0.7613424376527408
3657-COGMW,0,1,0,0,52,1,2,1,2,2,2,0,2,2,0,0,1,1.440389389225063,1.5704195829521652
0040-HALCW,1,0,1,1,54,1,0,2,1,1,1,1,1,1,2,0,1,-1.4744025490663168,-0.5246257426703725
5644-PDMZC,0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,0.8222009051632655,-0.934528792354686
8180-AKMJV,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-0.6717545979860794,-0.986125134686599
2664-XJZNO,1,0,1,1,72,1,0,1,2,0,2,2,2,2,2,1,1,1.3340343812144315,2.3293644986979842
7924-GJZFI,0,1,1,0,25,1,0,1,0,0,0,0,0,0,0,1,2,0.1508349170961516,-0.2058710839717216
0392-BZIUW,0,0,1,0,72,1,2,1,2,0,2,0,2,2,2,1,1,1.3373579752147637,2.3427102819860592
9979-RGMZT,0,0,0,0,7,1,0,1,0,2,0,0,2,2,1,1,3,0.9734244321783826,-0.7263125139147852
8058-JMEQO,0,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,0.6543594081464871,-0.6693778582676422
4701-MLJPN,1,0,0,0,31,1,0,0,0,0,2,2,0,0,0,1,2,-0.3161300399505289,-0.24886435939066068
7398-HPYZQ,1,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,0.8570986421667539,1.819555577093519
8205-OTCHB,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,-0.6983433499887373,-0.6071269484511997
0722-SVSFK,0,0,0,0,7,1,0,1,0,0,2,2,2,2,0,1,2,1.1844726511994805,-0.6903340469018096
7205-BAIAD,0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,1,0,-1.4677553610656522,-0.6407892051414518
9554-DFKIC,1,0,1,1,30,1,2,0,2,0,0,0,0,0,0,1,0,-0.3427187919531868,-0.3048725309087143
5855-EIBDE,0,0,1,0,49,1,2,1,2,2,2,2,0,2,2,0,1,1.392197276220246,1.277055001219753
0285-INHLN,1,0,1,1,27,1,0,0,2,2,0,0,0,0,0,1,1,-0.3327480099521901,-0.33946127172805585
3627-FHKBK,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,0.3502505571160864,-0.972558759939217
2587-YNLES,0,0,1,1,6,1,0,2,1,1,1,1,1,1,2,0,3,-1.4843733310673135,-0.9615071278279351
9968-FFVVH,1,0,0,0,63,1,2,0,2,2,2,2,0,0,1,0,0,0.1342169470944904,0.8080775587330182
9170-GYZJC,0,0,1,1,41,1,2,0,2,2,2,2,0,2,0,0,1,0.50313588113137,0.4616827901831969
8180-AKMJV,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-0.6717545979860794,-0.986125134686599
3834-XUIFC,1,0,0,0,7,1,2,1,0,0,0,0,0,2,0,1,3,0.6792863631489789,-0.7399450660999595
8010-EZLOU,1,1,0,0,15,1,2,1,0,2,0,0,0,0,0,1,2,0.5131066631323666,-0.46874992602790305
6211-WWLTF,1,0,1,0,63,1,0,1,2,0,2,0,2,2,2,0,1,1.1612074931971548,1.7870845142835248
5020-ZSTTY,0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,0.5878875281398422,0.9134099805521226
6227-FBDXH,1,0,1,0,69,1,2,1,0,0,2,0,2,2,1,0,0,1.15456030519649,2.012551044841235
1194-HVAIF,0,0,1,0,27,1,2,1,0,0,0,0,2,2,0,0,1,1.0049985751815391,0.08065516252217307
0480-KYJVA,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,1,-1.3464441800535252,-0.2184889154440834
6243-OZGFH,0,0,0,0,23,0,1,0,0,0,0,0,2,2,0,1,2,-0.6584602219847502,-0.5659866412904396
2430-USGXP,1,0,1,0,24,1,2,1,0,0,2,0,2,2,0,1,2,1.2060760122016398,0.04944147103022905
4075-JFPGR,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,0.9551446651765553,1.0322867179726782
0818-OCPZO,1,1,0,0,27,1,2,1,0,2,0,0,0,0,0,1,2,0.5546515881365197,-0.06956762126591085
5322-TEUJK,0,0,1,1,71,1,2,1,2,2,2,2,2,2,2,0,0,1.656422999246659,2.567912102792601
9055-MOJJJ,0,0,1,1,64,1,0,0,2,0,0,2,2,0,1,0,3,0.034509127084522986,0.788952279211099
3973-SKMLN,1,0,0,0,71,1,0,2,1,1,1,1,1,1,2,1,1,-1.491020519067978,-0.40793286069695633
0265-PSUAE,0,0,1,1,16,1,0,1,2,0,2,0,2,2,0,0,0,1.1944434332004772,-0.3339906035372416
7971-HLVXI,1,0,1,1,72,1,2,1,0,0,0,0,0,2,2,1,1,0.6560212051466532,1.6990464628740916
8010-EZLOU,1,1,0,0,15,1,2,1,0,2,0,0,0,0,0,1,2,0.5131066631323666,-0.46874992602790305
2097-YVPKN,1,0,0,0,65,1,2,2,1,1,1,1,1,1,2,0,3,-1.2965902700485417,-0.27573239913425635
1810-BOHSY,1,0,1,0,51,1,2,1,2,2,0,0,0,2,1,1,1,1.0515288911861906,1.1608915387486736
3365-SAIGS,0,0,0,0,17,1,0,1,0,2,0,0,2,0,0,1,2,0.6244470621434968,-0.4193815574349909
2582-FFFZR,0,0,0,0,22,0,1,0,0,0,2,0,2,2,0,1,2,-0.47067716096597834,-0.5322582071623956
3537-HPKQT,0,0,1,0,55,1,2,1,0,2,0,0,0,0,0,1,1,0.43167861012422654,0.8764829702641264
0880-TKATG,1,0,1,1,4,1,2,1,0,0,2,0,2,2,0,0,2,1.2093996062019723,-0.8355273454176932
1307-ATKGB,1,0,0,0,24,1,0,1,0,2,2,0,0,2,0,1,2,0.8238627021634315,-0.04084661326413625
3714-NTNFO,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,0.6560212051466532,0.7177894744386527
6994-KERXL,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,2,-0.29452667894836937,-0.9005577076214042
0156-FVPTA,1,0,1,0,22,1,0,0,2,0,0,2,0,0,0,1,2,-0.3510277769540174,-0.49722828342444
5173-ZXXXL,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,3,-1.4893587220678117,-0.9847354084929649
9199-PWQVC,0,0,1,0,63,1,2,0,2,2,0,0,2,2,1,1,1,0.4964886931307054,1.1057877922137787
6732-FZUGP,0,0,0,0,47,1,2,1,2,0,2,0,2,0,1,0,1,1.001674981181207,1.0303896314226377
2067-QYTCF,0,0,1,0,64,1,2,1,0,2,2,2,2,2,0,1,2,1.541759006235197,2.0619414725800778
2581-VKIRT,0,0,1,1,59,1,2,0,2,2,0,2,0,0,1,0,3,0.02453834508352634,0.6712887948167321
8943-URTMR,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,3,0.4948268961305394,-0.9384112020384897
5940-AHUHD,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0.19404163910047073,-0.9746323196567032
6103-QCKFX,0,0,1,1,44,1,0,0,2,0,0,2,0,0,0,0,0,-0.28289409994720643,0.06168429702176893
1568-BEKZM,1,1,1,0,70,1,2,0,2,2,2,2,2,2,2,0,1,0.8404806721650927,1.788408063039367
0137-UDEUO,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,-1.4926823160681442,-0.9776544226492093
7929-DMBCV,0,0,1,0,20,1,0,1,0,0,2,2,0,0,0,1,3,0.5396954151350245,-0.26296015364037956
5756-JYOJT,0,0,0,0,11,1,0,0,0,0,2,2,0,2,1,0,1,0.004596781081533054,-0.6981650437072089
4123-FCVCB,0,0,0,0,12,1,2,0,0,0,0,2,2,2,1,1,3,0.36853032411791364,-0.6288110889010803
3071-VBYPO,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,0.8338334841644282,-0.8961899967271251
9415-TPKRV,0,0,1,1,8,1,2,0,0,2,0,0,0,0,0,0,2,-0.2995120699488677,-0.8086593056740976
1498-DQNRX,0,0,1,0,29,1,0,2,1,1,1,1,1,1,0,0,3,-1.4926823160681442,-0.7529599621990739
3227-WLKLI,0,0,1,1,65,1,2,0,2,2,2,2,2,2,2,0,0,0.8903345821700764,1.6254130337574064
2972-YDYUW,0,0,0,0,57,1,2,1,0,2,0,2,0,2,1,0,2,0.9950277931805424,1.4070274890434518
8150-QUDFX,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,-1.4926823160681442,-0.9830147951103702
0988-AADSA,0,0,1,1,72,1,2,0,2,2,2,2,0,2,2,0,0,0.534710024134526,1.5640003714863309
8092-NLTGF,1,0,0,0,72,1,2,2,1,1,1,1,1,1,2,0,0,-1.329826210051864,-0.22153307758252036
0440-MOGPM,0,0,0,0,41,1,2,0,0,2,2,0,2,2,1,1,2,0.5247392421335293,0.4341970943535417
2429-AYKKO,1,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,0,-1.4926823160681442,-0.3730794101264464
3530-VWVGU,0,0,1,1,22,1,0,2,1,1,1,1,1,1,0,0,3,-1.491020519067978,-0.8291743113896509
5542-DHSXL,0,0,1,0,4,1,0,0,2,2,0,0,0,0,0,0,3,-0.33440980695235617,-0.9020797886906227
2181-UAESM,1,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,2,-0.37595473195650925,-0.9530584749364761
3235-ETOOB,1,0,1,0,8,1,0,1,2,0,0,0,0,0,0,1,2,0.3236618051134285,-0.7367023716481461
9824-QCJPK,1,0,1,0,36,1,0,2,1,1,1,1,1,1,1,0,3,-1.4876969250676457,-0.7116211227249374
7872-BAAZR,0,0,1,1,53,1,0,2,1,1,1,1,1,1,1,0,0,-1.502653098069141,-0.5611115700397543
3214-IYUUQ,0,0,1,0,61,1,0,1,2,2,0,2,0,2,1,0,0,0.9617918531772199,1.5798608974105057
4488-KQFDT,0,0,0,0,61,1,2,1,0,2,2,0,2,2,1,1,2,1.302460238211275,1.827938052547186
9070-BCKQP,0,0,1,0,72,1,2,1,2,0,2,2,2,2,2,1,1,1.5085230662318745,2.471270984470193
9831-BPFRI,0,0,1,1,39,1,2,1,0,2,2,2,0,0,1,1,2,0.8238627021634315,0.5270881578677298
1257-SXUXQ,1,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,-1.505976692069473,-0.967816043564116
6963-KQYQB,0,0,1,1,70,1,2,2,1,1,1,1,1,1,2,0,3,-1.3530913680541898,-0.22720227808671087
9938-TKDGL,1,0,1,1,68,1,0,1,2,0,0,2,2,2,2,1,2,1.156222102196656,1.9360278676076281
1092-WPIVQ,0,0,1,1,18,1,2,2,1,1,1,1,1,1,2,0,3,-1.3181936310507012,-0.8167550122306654
4686-UXDML,0,0,0,0,21,1,2,1,0,2,0,0,2,2,0,1,1,1.1661928841976528,-0.12670080922643037
9754-CLVZW,0,0,1,1,26,0,1,0,2,2,0,2,0,0,0,0,1,-0.8611994560050172,-0.553501164693662
3115-CZMZD,1,0,0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,-1.479387940066815,-1.005779833710855
9019-QVLZD,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,0.4915033021302069,-0.9706837325351073
1579-KLYDT,1,0,0,0,7,1,2,1,0,0,2,0,2,0,0,1,2,0.8537750481664219,-0.7439598306593472
8486-AYEQH,0,0,0,0,31,1,2,1,0,0,0,0,0,0,0,1,2,0.37517751211857825,-0.022912527622475094
3352-ALMCK,1,0,0,0,40,1,2,1,0,2,2,0,2,2,0,1,3,1.259253516206956,0.8066657733934529
6416-TVAIH,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0.12424616509349373,-0.9755588037857926
7820-ZYGNY,1,0,0,0,63,1,2,1,0,2,0,0,0,2,1,0,1,0.8537750481664219,1.5643312586752913
2869-ADAWR,0,0,0,0,45,1,2,1,0,2,0,0,2,0,0,1,1,0.8155537171626008,0.7663857729239903
6265-FRMTQ,1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,0,-1.4744025490663168,-0.7370553179830374
9938-ZREHM,0,0,1,0,37,1,2,0,0,2,0,2,0,2,1,0,3,0.2438955491054544,0.16706083713273465
8580-QVLOC,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,0.9202469281730669,1.8355484578932784
0089-IIQKO,0,0,1,1,39,1,2,1,0,0,0,2,2,2,0,1,1,1.1695164781979852,0.6563326938757157
4994-OBRSZ,1,0,0,1,14,1,0,0,2,2,2,2,0,2,2,0,0,0.37683930911874425,-0.5404200911567555
1215-VFYVK,0,0,0,0,4,0,1,0,2,0,2,2,0,2,0,0,3,-0.5487816199737862,-0.9165505884211634
9365-CSLBQ,1,0,0,1,71,1,2,2,1,1,1,1,1,1,2,0,3,-1.343120586053193,-0.2757985765720485
7721-DVEKZ,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.4993295040688086,-0.9971105893600889
1641-RQDAY,0,1,1,1,32,1,2,1,0,2,0,0,2,2,0,1,2,1.1844726511994805,0.41379238436764193
6176-YJWAS,1,0,1,0,72,1,2,1,2,2,2,0,2,0,2,1,1,1.1030445981913404,2.1329057450391478
7123-WQUHX,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,1.0049985751815391,0.5849492976439624
2039-JONDJ,1,0,0,0,27,1,0,0,2,2,0,0,0,0,1,0,0,-0.3094828519498643,-0.3538658940208045
